x,y
-3.4007874,1.9364322
-1.977745,2.6371362
-3.1708302,2.301568
-2.6668286,2.922553
-3.1871037,1.863675
-3.186321,1.8647958
-3.7563043,2.3594315
-3.1816754,1.8651409
-2.6059463,3.0424209
-3.3876991,3.0013127
-3.5876262,2.1348548
-2.7040062,1.8724506
-2.7576723,1.589502
-2.1507483,2.2033055
-2.5143745,1.9985442
-2.1719658,2.2889717
-2.6725323,1.3590554
-2.6387146,2.233186
-2.531257,2.8673215
-3.4040015,2.564564
-3.405211,2.5645568
-2.571718,2.979043
-3.404523,2.5656073
-3.318361,2.730607
-3.230023,2.8834865
-2.60582,3.039924
-2.4259803,2.947186
-2.372385,2.5962133
-2.2760634,2.3573754
-2.2775595,2.3554862
-3.4438818,1.6418118
-2.37204,2.594935
-3.492247,2.3293111
-2.1826203,2.881498
